,SetName,Pieces,USRetailPrice,Availability
0,101 Dalmatians Puppy,1722,149.99,Retail
1,12 Grimmauld Place,1083,119.99,Retail
2,123 Sesame Street,1367,119.99,Retail - limited
3,1950s Diner,1379,129.99,Retail - limited
4,1968 Ford Mustang Fastback,183,14.99,Retail
5,1974 Porsche 911 Turbo 3.0,180,14.99,Retail
6,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,1410,139.99,Retail
7,2022 Ford GT,1466,119.99,Retail
8,24 Hours Race Car,1219,129.99,Retail
9,3in1 Family House,218,129.99,Retail
10,458 Italia GT2,153,14.99,Retail
11,4x4 Off-Roader,1102,119.99,Retail
12,A Fairy Tale,15,12.99,Retail
13,A-wing Fighter,125,15,Retail
14,AT-AT,1064,100,Retail
15,AT-AT,1137,109.99,Retail
16,AT-AT Walker,815,109.99,Retail
17,AT-TE Walker,1082,139.99,Retail
18,Action Wheeler,79,10,Retail
19,Advent Calendar,231,15,Retail - limited
20,Advent Calendar,344,15,Retail - limited
21,Advent Calendar,335,15,Retail - limited
22,Adventure Camp Archery Range,157,14.99,Retail
23,Adventure Camp Tree House,1128,129.99,Retail
24,Agent Mater's Escape,144,14.99,Retail
25,Air Chase,85,10,Retail
26,Air Mail,88,14.99,Retail
27,Airport Fire Truck,148,14.99,Retail
28,All-in-One Gift Set,30,14.99,Retail
29,Alpha Team Helicopter,79,10,Retail
30,Alpha Team Navigator and ROV,111,10,Retail
31,Ambulance,14,14.99,Retail - limited
32,Ambush Attack,80,11.99,Retail
33,Ambush In Cairo,79,10.99,Retail
34,Amusement Park,95,109.99,Retail
35,Amusement Park Arcade,174,14.99,Retail
36,Anakin's Podracer,136,15,Retail
37,Animal Adventures Bucket,209,10,Retail
38,Animal Picture Holders,423,14.99,Retail
39,Animal Play Pack,486,14.97,Retail - limited
40,Animals,202,10,Retail
41,Anna & Olaf,201,14.99,Retail
42,Antique Fire Engine,1278,149.99,Retail - limited
43,App-Controlled Top Gear Rally Car,463,129.99,Retail
44,App-Controlled Transformation Vehicle,772,149.99,Retail
45,Aquaman Fun Pack,43,14.99,Retail
46,Aragog's Lair,157,14.99,Retail
47,Arctic Expedition,121,15,Retail
48,Arctic Explorer Snowmobile,70,10.99,Retail
49,Arctic Ice Crawler,113,14.99,Retail
50,Arctic Icebreaker,717,129.99,Retail - limited
51,Arctic Mobile Exploration Base,786,119.99,Retail
52,Arctic Truck,1057,119.99,Retail
53,Ariel's Amazing Treasures,77,12.99,Retail
54,Ariel's Dolphin Carriage,70,14.99,Retail
55,Ariel's Magical Boat Ride,30,14.99,Retail
56,Ariel's Music Stage,60,15.99,Retail
57,Arin's Battle Mech,104,15.99,Retail
58,Arkham Asylum,1628,149.99,Retail - limited
59,Army Men on Patrol,90,10.99,Retail
60,Art Project - Create Together,4138,119.99,Retail
61,Audi R18 e-tron quattro,166,14.99,Retail
62,Audi R8 LMS ultra,175,14.99,Retail
63,Autumn's Baby Cow Shed,79,10.99,Retail
64,Avengers Helicarrier,1244,119.99,Retail
65,Avengers: Age of Ultron Quinjet,1131,129.99,Retail
66,B.A. Baracus Fun Pack,73,11.99,Retail
67,BREEZ,55,12.99,Retail
68,BREEZ Flea Machine,102,14.99,Retail
69,BRUIZER,62,12.99,Retail
70,BULK,61,12.99,Retail
71,BULK Drill Machine,113,14.99,Retail
72,Back-Hoe,704,100,Retail
73,Backhoe Loader,19,14.99,Retail
74,Bad,72,12.99,Retail
75,Bad Cop Fun Pack,62,14.99,Retail
76,Bakey with Cakey Fun,58,10.99,Retail
77,Banana Bash,124,12.99,Retail
78,Bane Fun Pack,52,11.99,Retail
79,Bart Simpson Fun Pack,34,14.99,Retail
80,Basic Bricks,280,12.99,Retail
81,Bat Strike,101,12.99,Retail
82,Batman,40,14.99,Retail
83,Batman & Selina Kyle Motorcycle Pursuit,149,14.99,Retail
84,Batman Mech Armor,140,14.99,Retail
85,Batman vs. Mr. Freeze,63,14.99,Retail
86,Batman: The Classic TV Series Batmobile,1822,149.99,Retail
87,Batman: The Penguin Face off,136,12.99,Retail
88,Battle Droid Carrier,133,10,Retail
89,Battle Droid with STAP,1088,139.99,Retail
90,Battle for Ninjago City,1223,119.99,Retail
91,Battle on Saleucami,183,14.99,Retail
92,Beach Amusement Park,1348,119.99,Retail
93,Beach Buggy Fun,61,10.99,Retail
94,Beach Lookout,87,13,Retail
95,Bedroom,16,14.99,Retail
96,Beetlejuice Fun Pack,56,14.99,Retail
97,Bell-Boeing V-22 Osprey,1636,149.99,Retail
98,Belle's Story Time,87,14.99,Retail
99,Belle's Storytime Horse Carriage,62,15.99,Retail
100,Benny Fun Pack,46,14.99,Retail
101,Big Chill,20,14.99,Retail
102,Big Interactive Community Train,103,139.99,Retail
103,BigFig Creeper and Ocelot,184,14.99,Retail
104,BigFig Pig with Baby Zombie,159,14.99,Retail
105,Birthday Party Cake,219,14.99,Retail - limited
106,Black Widow & Captain America Motorcycles,130,15.99,Retail
107,Blaster,88,15,Retail
108,Blaze Attack,143,15,Retail
109,Blaze Responder,45,13,Retail
110,Block-o-dile,26,14.99,Retail - limited
111,Blue Roadster,152,14.99,Retail
112,Blue Sprinter,110,12.99,Retail
113,"Bob, Lofty and the Mice",18,15,Retail
114,Boba Fett Mech,155,15.99,Retail
115,Boulder Bowling,93,14.99,Retail
116,Bounty Hunter Speeder Bike Battle Pack,125,14.99,Retail
117,Brachiosaurus,25,10,Retail
118,Braptor's Wing Striker,146,14.99,Retail
119,Brick Box Green,31,14.99,Retail
120,Bruni the Salamander Buildable Character,96,12.99,Retail
121,Bugatti Chiron,181,14.99,Retail
122,Buggy,117,12.99,Retail
123,Build Your Own Harbour,252,14.99,Retail
124,Build and Create Bucket,600,15,Retail - limited
125,Build with Bricks Bucket,500,10,Retail
126,Bumblebee Helicopter,142,14.99,Retail
127,Busy Farm,15,12.99,Retail
128,Buttercup Fun Pack,56,14.99,Retail
129,Buzz Saw,64,10,Retail
130,C-3PO,1138,139.99,Retail
131,CHI Cragger,65,14.99,Retail
132,CHI Cragger,58,14.99,Retail
133,CHI Eris,67,14.99,Retail
134,CHI Gorzan,59,14.99,Retail
135,CHI Laval,55,14.99,Retail
136,CHI Laval,49,14.99,Retail
137,CHI Mungus,64,14.99,Retail
138,CHI Panthar,59,14.99,Retail
139,CHI Razar,68,14.99,Retail
140,CHI Vardy,68,14.99,Retail
141,CHI Waterfall,106,14.99,Retail
142,CHI Worriz,55,14.99,Retail
143,CORE HUNTER,51,12.99,Retail
144,CRYSTAL Beast vs. BULK,83,14.99,Retail
145,Caboose,170,15,Retail - limited
